"TOA5","CR800Series","CR800","44766","CR800.Std.32.03","CPU:calibrate_ec.CR8","37264","Table1"
"TIMESTAMP","RECORD","PTemp_C","EC(1)","EC(2)","EC(3)","EC(4)","EC(5)","EC(6)","EC(7)","EC(8)","EC(9)","EC(10)","EC(11)","EC(12)"
"TS","RN","Deg C","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts","milliVolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-13 16:11:50",0,21.42,0.839,0.852,0.838,0.864,0.847,0.877,0.827,0.841,0.818,0.832,0.82,0.841
"2020-02-13 16:12:00",1,21.42,0.839,0.85,0.837,0.863,0.846,0.877,0.826,0.84,0.817,0.831,0.819,0.841
"2020-02-13 16:12:10",2,21.4,0.839,0.85,0.836,0.863,0.846,0.876,0.826,0.84,0.816,0.831,0.818,0.84
"2020-02-13 16:12:20",3,21.4,0.839,0.849,0.836,0.863,0.846,0.876,0.825,0.839,0.816,0.83,0.818,0.839
"2020-02-13 16:12:30",4,21.4,0.839,0.848,0.836,0.863,0.846,0.876,0.825,0.839,0.816,0.83,0.817,0.839
"2020-02-13 16:12:40",5,21.4,0.839,0.848,0.836,0.863,0.846,0.877,0.824,0.839,0.815,0.83,0.817,0.839
"2020-02-13 16:12:50",6,21.4,0.84,0.847,0.836,0.863,0.846,0.876,0.824,0.839,0.815,0.83,0.816,0.838
"2020-02-13 16:13:00",7,21.4,0.84,0.847,0.835,0.864,0.846,0.879,0.825,0.839,0.815,0.83,0.816,0.838
"2020-02-13 16:13:10",8,21.4,0.842,0.832,0.846,0.862,0.857,0.884,0.842,0.839,0.825,0.839,0.82,0.85
"2020-02-13 16:13:20",9,21.4,0.84,0.822,0.843,0.86,0.855,0.882,0.841,0.837,0.824,0.838,0.82,0.849
"2020-02-13 16:13:30",10,21.4,0.84,0.827,0.843,0.86,0.854,0.881,0.839,0.836,0.822,0.837,0.818,0.848
"2020-02-13 16:13:40",11,21.4,0.839,0.826,0.842,0.859,0.853,0.881,0.839,0.836,0.822,0.836,0.817,0.847
"2020-02-13 16:13:50",12,21.4,0.838,0.825,0.841,0.859,0.852,0.88,0.838,0.835,0.821,0.835,0.816,0.846
"2020-02-13 16:14:00",13,21.4,0.838,0.823,0.84,0.859,0.851,0.88,0.837,0.834,0.82,0.834,0.816,0.845
"2020-02-13 16:14:10",14,21.4,0.838,0.823,0.84,0.859,0.852,0.88,0.837,0.834,0.82,0.833,0.815,0.845
"2020-02-13 16:14:20",15,21.4,0.837,0.822,0.84,0.859,0.851,0.879,0.837,0.834,0.819,0.833,0.814,0.844
"2020-02-13 16:14:30",16,21.4,0.837,0.821,0.839,0.858,0.85,0.879,0.836,0.833,0.819,0.832,0.813,0.844
"2020-02-13 16:14:40",17,21.4,1,0.987,1,0.999,1,1,1,0.998,0.999,1,0.988,0.999
"2020-02-13 16:14:50",18,21.4,0.732,0.763,0.736,0.753,0.758,0.789,0.72,0.729,0.671,0.735,0.681,0.721
"2020-02-13 16:15:00",19,21.4,0.73,0.762,0.735,0.751,0.757,0.786,0.717,0.727,0.67,0.731,0.678,0.72
"2020-02-13 16:15:10",20,21.4,0.73,0.761,0.735,0.752,0.756,0.785,0.717,0.726,0.67,0.73,0.677,0.72
"2020-02-13 16:15:20",21,21.4,0.73,0.761,0.735,0.752,0.756,0.785,0.717,0.727,0.669,0.73,0.676,0.721
"2020-02-13 16:15:30",22,21.4,0.73,0.761,0.735,0.751,0.756,0.785,0.717,0.727,0.669,0.729,0.675,0.722
"2020-02-13 16:15:40",23,21.4,0.731,0.761,0.735,0.751,0.756,0.785,0.718,0.728,0.669,0.729,0.674,0.722
"2020-02-13 16:15:50",24,21.4,0.732,0.761,0.735,0.752,0.756,0.785,0.718,0.728,0.669,0.729,0.674,0.724
"2020-02-13 16:16:00",25,21.4,0.732,0.761,0.736,0.752,0.756,0.786,0.719,0.728,0.669,0.729,0.673,0.724
"2020-02-13 16:16:10",26,21.4,0.995,0.998,0.999,0.991,0.992,0.994,1.001,0.99,0.991,0.989,0.978,0.986
"2020-02-13 16:16:20",27,21.42,0.624,0.153,0.603,0.591,0.559,0.629,0.592,0.119,0.499,0.508,0.084,0.015
"2020-02-13 16:16:30",28,21.4,0.541,0.548,0.585,0.59,0.56,0.625,0.519,0.001,0.421,0.489,0.005,0.001
"2020-02-13 16:16:40",29,21.42,0.541,0.549,0.585,0.591,0.561,0.625,0.523,0.001,0.422,0.489,0.023,0.002
"2020-02-13 16:16:50",30,21.42,0.605,0.612,0.642,0.644,0.622,0.673,0.625,0.164,0.523,0.6,0.194,0.194
"2020-02-13 16:17:00",31,21.42,0.612,0.619,0.649,0.649,0.628,0.677,0.628,0.176,0.526,0.598,0.205,0.205
"2020-02-13 16:17:10",32,21.42,0.546,0.554,0.589,0.644,0.623,0.672,0.558,0.057,0.454,0.519,0.051,0.043
"2020-02-13 16:17:20",33,21.42,0.543,0.552,0.587,0.592,0.564,0.624,0.529,0.002,0.421,0.486,0.008,0.007
"2020-02-13 16:17:30",34,21.42,0.61,0.617,0.648,0.647,0.632,0.674,0.629,0.172,0.523,0.595,0.202,0.201
"2020-02-13 16:17:40",35,21.42,0.546,0.554,0.592,0,0.574,0.622,0.622,0.542,0.522,0.966,0.943,0.98
"2020-02-13 16:17:50",36,21.42,0.565,0.605,0.59,0.595,0.582,0.634,0.57,0.569,0.45,0.541,0.5,0.538
"2020-02-13 16:18:00",37,21.42,0.563,0.604,0.589,0.594,0.582,0.637,0.572,0.57,0.448,0.536,0.5,0.537
"2020-02-13 16:18:10",38,21.42,0.562,0.604,0.588,0.593,0.582,0.639,0.572,0.572,0.448,0.534,0.499,0.537
"2020-02-13 16:18:20",39,21.42,0.562,0.603,0.588,0.593,0.582,0.639,0.572,0.573,0.448,0.533,0.499,0.537
"2020-02-13 16:18:30",40,21.42,0.562,0.604,0.589,0.592,0.582,0.639,0.573,0.574,0.447,0.533,0.499,0.537
"2020-02-13 16:18:40",41,21.42,0.561,0.604,0.591,0.592,0.582,0.639,0.573,0.575,0.446,0.533,0.499,0.537
"2020-02-13 16:18:50",42,21.42,0.561,0.603,0.591,0.592,0.582,0.64,0.573,0.575,0.446,0.532,0.498,0.537
"2020-02-13 16:19:00",43,21.42,0.561,0.603,0.592,0.592,0.583,0.64,0.573,0.576,0.446,0.532,0.498,0.538
"2020-02-13 16:19:10",44,21.42,0.56,0.603,0.592,0.592,0.583,0.64,0.574,0.576,0.446,0.532,0.498,0.538
"2020-02-13 16:19:20",45,21.42,0.561,0.603,0.592,0.592,0.583,0.64,0.574,0.577,0.445,0.533,0.498,0.538
"2020-02-13 16:19:30",46,21.45,0.56,0.603,0.592,0.592,0.584,0.64,0.574,0.577,0.445,0.533,0.498,0.539
"2020-02-14 14:51:00",47,19.89,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:51:10",48,19.89,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:51:20",49,19.89,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:51:30",50,19.89,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:51:40",51,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:51:50",52,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:52:00",53,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:52:10",54,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:52:20",55,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:52:30",56,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:52:40",57,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"2020-02-14 14:52:50",58,19.92,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
